"Points:0","Points:1","Points:2","alpha.water"
2,0.29991,0.005,0.25
2,0.29995,0.005,0.25
2,0.29999,0.005,0.25
2,0.30006,0.005,0.25
2,0.30015,0.005,0.25
2,0.30024,0.005,0.25
2,0.30034,0.005,0.25
2,0.30044,0.005,0.25
2,0.30054,0.005,0.25
2,0.30065,0.005,0.25
2,0.30075,0.005,0.25
2,0.30086,0.005,0.25
2,0.30097,0.005,0.25
2,0.30107,0.005,0.25
2,0.30118,0.005,0.25
2,0.30128,0.005,0.25
2,0.30138,0.005,0.25
2,0.30155,0.005,0.25
2,0.3017,0.005,0.25
2,0.30183,0.005,0.25
2,0.30194,0.005,0.25
2,0.30203,0.005,0.25
2,0.30211,0.005,0.25
2,0.30217,0.005,0.25
2,0.30222,0.005,0.25
2,0.30226,0.005,0.25
2,0.30229,0.005,0.25
2,0.3023,0.005,0.25
2,0.30231,0.005,0.25
2,0.3023,0.005,0.25
2,0.30228,0.005,0.25
2,0.30225,0.005,0.25
2,0.30221,0.005,0.25
2,0.30215,0.005,0.25
2,0.30207,0.005,0.25
2,0.30197,0.005,0.25
2,0.30184,0.005,0.25
2,0.30167,0.005,0.25
2,0.30146,0.005,0.25
2,0.30129,0.005,0.25
2,0.30115,0.005,0.25
2,0.30099,0.005,0.25
2,0.30083,0.005,0.25
2,0.30066,0.005,0.25
2,0.30048,0.005,0.25
2,0.3003,0.005,0.25
2,0.30011,0.005,0.25
2,0.29996,0.005,0.25
2,0.29985,0.005,0.25
2,0.29972,0.005,0.25
2,0.29956,0.005,0.25
2,0.29937,0.005,0.25
2,0.29914,0.005,0.25
2,0.29886,0.005,0.25
2,0.29858,0.005,0.25
2,0.29841,0.005,0.25
2,0.29825,0.005,0.25
2,0.2981,0.005,0.25
2,0.29797,0.005,0.25
2,0.29785,0.005,0.25
2,0.29774,0.005,0.25
2,0.29765,0.005,0.25
2,0.29757,0.005,0.25
2,0.29751,0.005,0.25
2,0.29747,0.005,0.25
2,0.29744,0.005,0.25
2,0.29744,0.005,0.25
2,0.29745,0.005,0.25
2,0.29748,0.005,0.25
2,0.29753,0.005,0.25
2,0.2976,0.005,0.25
2,0.29769,0.005,0.25
2,0.29779,0.005,0.25
2,0.29792,0.005,0.25
2,0.29807,0.005,0.25
2,0.29823,0.005,0.25
2,0.29841,0.005,0.25
2,0.29861,0.005,0.25
2,0.29898,0.005,0.25
2,0.29929,0.005,0.25
2,0.29955,0.005,0.25
2,0.29976,0.005,0.25
2,0.29993,0.005,0.25
2,0.30015,0.005,0.25
2,0.30043,0.005,0.25
2,0.30073,0.005,0.25
2,0.30103,0.005,0.25
2,0.30133,0.005,0.25
2,0.3018,0.005,0.25
2,0.30217,0.005,0.25
2,0.30243,0.005,0.25
2,0.30263,0.005,0.25
2,0.30281,0.005,0.25
2,0.30306,0.005,0.25
2,0.30331,0.005,0.25
2,0.30353,0.005,0.25
2,0.30374,0.005,0.25
2,0.30393,0.005,0.25
2,0.30409,0.005,0.25
2,0.30429,0.005,0.25
2,0.30447,0.005,0.25
2,0.30458,0.005,0.25
2,0.30465,0.005,0.25
2,0.30466,0.005,0.25
2,0.30464,0.005,0.25
