"Points:0","Points:1","Points:2","alpha.water"
2.151,0.3026,0.005,0.25
2.151,0.30267,0.005,0.25
2.151,0.30272,0.005,0.25
2.151,0.30277,0.005,0.25
2.151,0.3028,0.005,0.25
2.151,0.30283,0.005,0.25
2.151,0.30286,0.005,0.25
2.151,0.30287,0.005,0.25
2.151,0.30288,0.005,0.25
2.151,0.30289,0.005,0.25
2.151,0.30289,0.005,0.25
2.151,0.30288,0.005,0.25
2.151,0.30287,0.005,0.25
2.151,0.30285,0.005,0.25
2.151,0.30282,0.005,0.25
2.151,0.30278,0.005,0.25
2.151,0.30274,0.005,0.25
2.151,0.30267,0.005,0.25
2.151,0.3026,0.005,0.25
2.151,0.3025,0.005,0.25
2.151,0.30238,0.005,0.25
2.151,0.30223,0.005,0.25
2.151,0.30203,0.005,0.25
2.151,0.30187,0.005,0.25
2.151,0.30174,0.005,0.25
2.151,0.3016,0.005,0.25
2.151,0.30146,0.005,0.25
2.151,0.30131,0.005,0.25
2.151,0.30116,0.005,0.25
2.151,0.30101,0.005,0.25
2.151,0.30091,0.005,0.25
2.151,0.30081,0.005,0.25
2.151,0.3007,0.005,0.25
2.151,0.30057,0.005,0.25
2.151,0.30041,0.005,0.25
2.151,0.30022,0.005,0.25
2.151,0.29998,0.005,0.25
2.151,0.29985,0.005,0.25
2.151,0.29973,0.005,0.25
2.151,0.29962,0.005,0.25
2.151,0.29952,0.005,0.25
2.151,0.29943,0.005,0.25
2.151,0.29936,0.005,0.25
2.151,0.29929,0.005,0.25
2.151,0.29924,0.005,0.25
2.151,0.2992,0.005,0.25
2.151,0.29918,0.005,0.25
2.151,0.29917,0.005,0.25
2.151,0.29917,0.005,0.25
2.151,0.29919,0.005,0.25
2.151,0.29922,0.005,0.25
2.151,0.29927,0.005,0.25
2.151,0.29934,0.005,0.25
2.151,0.29943,0.005,0.25
2.151,0.29953,0.005,0.25
2.151,0.29964,0.005,0.25
2.151,0.29977,0.005,0.25
2.151,0.29992,0.005,0.25
2.151,0.30018,0.005,0.25
2.151,0.30043,0.005,0.25
2.151,0.30063,0.005,0.25
2.151,0.30079,0.005,0.25
2.151,0.30092,0.005,0.25
2.151,0.30111,0.005,0.25
2.151,0.30135,0.005,0.25
2.151,0.30159,0.005,0.25
2.151,0.30184,0.005,0.25
2.151,0.3022,0.005,0.25
2.151,0.30253,0.005,0.25
2.151,0.30275,0.005,0.25
2.151,0.30292,0.005,0.25
2.151,0.30314,0.005,0.25
2.151,0.3034,0.005,0.25
2.151,0.30365,0.005,0.25
2.151,0.30388,0.005,0.25
2.151,0.30422,0.005,0.25
2.151,0.30449,0.005,0.25
2.151,0.30468,0.005,0.25
2.151,0.30481,0.005,0.25
2.151,0.30491,0.005,0.25
2.151,0.30501,0.005,0.25
2.151,0.30512,0.005,0.25
2.151,0.30521,0.005,0.25
2.151,0.30527,0.005,0.25
2.151,0.3053,0.005,0.25
